Time,B,Elapsed_Time,TouchTag
31:31.0,144,3.212542,3
31:31.3,144.25,3.209979,3
31:31.5,144.5,3.211261,3
31:31.8,144.75,3.211261,3
31:32.0,145,3.206136,3
31:32.2,145.25,3.206136,3
31:32.5,145.5,3.204855,3
31:32.8,145.75,3.213823,3
31:33.0,146,3.213823,3
31:33.3,146.25,3.215104,3
31:33.5,146.5,3.212542,3
31:33.8,146.75,3.209979,3
31:34.0,147,3.206136,3
31:34.3,147.25,3.201012,3
31:34.5,147.5,3.197168,3
31:34.8,147.75,3.202293,3
31:35.0,148,3.203574,3
31:35.3,148.25,3.201012,3
31:35.5,148.5,3.199731,3
31:35.7,148.75,3.204855,3
31:36.0,149,3.202293,3
31:36.3,149.25,3.208698,3
31:36.5,149.5,3.202293,3
31:36.8,149.75,3.207417,3
31:37.0,150,3.208698,3
31:37.3,150.25,3.201012,3
31:37.5,150.5,3.199731,3
31:37.7,150.75,3.206136,3
31:38.0,151,3.207417,3
31:38.2,151.25,3.207417,3
31:38.5,151.5,3.208698,3
31:38.8,151.75,3.211261,3
31:39.0,152,3.215104,3
31:39.2,152.25,3.208698,3
31:39.5,152.5,3.212542,3
31:39.8,152.75,3.209979,3
31:40.0,153,3.207417,3
31:40.3,153.25,3.209979,3
31:40.5,153.5,3.208698,3
31:40.8,153.75,3.207417,3
31:41.0,154,3.204855,3
31:41.3,154.25,3.211261,3
31:41.5,154.5,3.206136,3
31:41.7,154.75,3.207417,3
31:42.0,155,3.209979,3
31:42.3,155.25,3.211261,3
31:42.5,155.5,3.208698,3
31:42.8,155.75,3.209979,3
31:43.0,156,3.209979,3
31:43.3,156.25,3.207417,3
31:43.5,156.5,3.208698,3
31:43.8,156.75,3.208698,3
31:44.0,157,3.212542,3
31:44.3,157.25,3.208698,3
31:44.5,157.5,3.215104,3
31:44.8,157.75,3.209979,3
31:45.0,158,3.212542,3
31:45.2,158.25,3.209979,3
31:45.5,158.5,3.220228,3
31:45.8,158.75,3.208698,3
31:46.0,159,3.206136,3
31:46.3,159.25,3.209979,3
31:46.5,159.5,3.207417,3
31:46.8,159.75,3.208698,3
31:47.0,160,3.207417,3
31:47.2,160.25,3.211261,3
31:47.5,160.5,3.221509,3
31:47.7,160.75,3.208698,3
31:48.0,161,3.208698,3
31:48.3,161.25,3.211261,3
31:48.5,161.5,3.207417,3
31:48.7,161.75,3.203574,4
31:49.0,162,3.206136,1
31:49.3,162.25,3.203574,2
31:49.5,162.5,3.207417,3
31:49.7,162.75,3.203574,1
31:50.0,163,3.208698,2
31:50.3,163.25,3.207417,3
31:50.5,163.5,3.209979,4
31:50.8,163.75,3.211261,1
31:51.0,164,3.207417,3
31:51.2,164.25,3.206136,4
31:51.5,164.5,3.201012,1
31:51.8,164.75,3.203574,3
31:52.0,165,3.203574,4
31:52.3,165.25,3.203574,1
31:52.5,165.5,3.198449,3
31:52.8,165.75,3.209979,4
31:53.0,166,3.204855,1
31:53.3,166.25,3.204855,3
31:53.5,166.5,3.202293,4
31:53.8,166.75,3.201012,1
31:54.0,167,3.202293,3
31:54.3,167.25,3.203574,4
31:54.5,167.5,3.204855,1
31:54.7,167.75,3.203574,3
31:55.0,168,3.206136,4
31:55.3,168.25,3.209979,1
31:55.5,168.5,3.203574,2
31:55.8,168.75,3.201012,1
31:56.0,169,3.203574,3
31:56.3,169.25,3.206136,4
31:56.5,169.5,3.202293,1
31:56.7,169.75,3.201012,2
31:57.0,170,3.202293,4
31:57.2,170.25,3.203574,1
31:57.5,170.5,3.207417,3
31:57.8,170.75,3.207417,4
31:58.0,171,3.207417,1
31:58.3,171.25,3.215104,4
31:58.5,171.5,3.211261,1
31:58.8,171.75,3.207417,3
31:59.0,172,3.206136,4
31:59.2,172.25,3.207417,1
31:59.5,172.5,3.209979,2
31:59.8,172.75,3.207417,3
32:00.0,173,3.203574,3
32:00.3,173.25,3.212542,3
32:00.5,173.5,3.216385,3
32:00.7,173.75,3.211261,3
32:01.0,174,3.209979,3
32:01.3,174.25,3.211261,3
32:01.5,174.5,3.216385,3
32:01.8,174.75,3.212542,3
32:02.0,175,3.212542,3
32:02.3,175.25,3.207417,3
32:02.5,175.5,3.215104,3
32:02.8,175.75,3.215104,3
32:03.0,176,3.215104,3
32:03.3,176.25,3.218947,3
32:03.5,176.5,3.220228,3
32:03.8,176.75,3.22279,3
32:04.0,177,3.220228,3
32:04.2,177.25,3.217666,3
32:04.5,177.5,3.22279,3
32:04.8,177.75,3.221509,3
32:05.0,178,3.224072,3
32:05.3,178.25,3.22279,3
32:05.5,178.5,3.218947,3
32:05.8,178.75,3.225353,3
32:06.0,179,3.226634,3
32:06.2,179.25,3.226634,3
32:06.5,179.5,3.229196,3
32:06.7,179.75,3.227915,3
32:07.0,180,3.226634,3
32:07.3,180.25,3.225353,3
32:07.5,180.5,3.236882,3
32:07.8,180.75,3.227915,3
32:08.0,181,3.229196,3
32:08.3,181.25,3.226634,3
32:08.5,181.5,3.229196,3
32:08.7,181.75,3.225353,3
32:09.0,182,3.226634,3
32:09.3,182.25,3.23432,3
32:09.5,182.5,3.231758,3
32:09.8,182.75,3.229196,3
32:10.0,183,3.233039,3
32:10.2,183.25,3.233039,3
32:10.5,183.5,3.230477,3
32:10.8,183.75,3.230477,3
32:11.0,184,3.224072,3
32:11.3,184.25,3.231758,3
32:11.5,184.5,3.231758,3
32:11.8,184.75,3.227915,3
32:12.0,185,3.227915,3
32:12.3,185.25,3.229196,3
32:12.5,185.5,3.230477,3
32:12.8,185.75,3.229196,3
32:13.0,186,3.23432,3
32:13.3,186.25,3.231758,3
32:13.5,186.5,3.233039,3
32:13.7,186.75,3.23432,3
32:14.0,187,3.230477,3
32:14.3,187.25,3.230477,3
32:14.5,187.5,3.23432,3
32:14.8,187.75,3.23432,3
32:15.0,188,3.231758,3
32:15.3,188.25,3.23432,3
32:15.5,188.5,3.23432,3
32:15.7,188.75,3.238163,3
32:16.0,189,3.233039,3
32:16.2,189.25,3.229196,3
32:16.5,189.5,3.235601,3
32:16.8,189.75,3.233039,3
32:17.0,190,3.231758,3
32:17.3,190.25,3.229196,3
32:17.5,190.5,3.236882,3
32:17.8,190.75,3.227915,3
32:18.0,191,3.233039,3
32:18.2,191.25,3.226634,3
32:18.5,191.5,3.230477,3
32:18.8,191.75,3.230477,3
32:19.0,192,3.230477,3
32:19.3,192.25,3.230477,3
32:19.5,192.5,3.23432,3
32:19.7,192.75,3.229196,3
32:20.0,193,3.231758,3
32:20.3,193.25,3.229196,3
32:20.5,193.5,3.231758,3
32:20.8,193.75,3.230477,3
32:21.0,194,3.233039,3
32:21.3,194.25,3.229196,3
32:21.5,194.5,3.23432,3
32:21.8,194.75,3.230477,3
