Time,Measurement,TouchTag,SubjectID
15:24:07.750000,4.376114,0,A1
15:24:08,4.354335,0,A1
15:24:08.250000,4.345367,0,A1
15:24:08.500000,4.331275,0,A1
15:24:08.750000,4.319746,0,A1
15:24:09,4.308216000000002,0,A1
15:24:09.250000,4.297967,0,A1
15:24:09.500000,4.295404,0,A1
15:24:09.750000,4.295404,0,A1
15:24:10,4.292842,0,A1
15:24:10.250000,4.285156,0,A1
15:24:10.500000,4.285156,0,A1
15:24:10.750000,4.27875,0,A1
15:24:11,4.2761879999999985,0,A1
15:24:11.250000,4.280031,0,A1
15:24:11.500000,4.2761879999999985,0,A1
15:24:11.750000,4.27875,0,A1
15:24:12,4.2761879999999985,0,A1
15:24:12.250000,4.274907,0,A1
15:24:12.500000,4.2685010000000005,0,A1
15:24:12.750000,4.260815,0,A1
15:24:13,4.249285,0,A1
15:24:13.250000,4.250566,0,A1
15:24:13.500000,4.241599,0,A1
15:24:13.750000,4.2390360000000005,0,A1
15:24:14,4.230069,0,A1
15:24:14.250000,4.227506,0,A1
15:24:14.500000,4.215976,0,A1
15:24:14.750000,4.209571,0,A1
15:24:15,4.20829,0,A1
15:24:15.250000,4.201884,0,A1
15:24:15.500000,4.199322,0,A1
15:24:15.750000,4.186511,0,A1
15:24:16,4.221101,0,A1
15:24:16.250000,4.347929,0,A1
15:24:16.500000,4.575965,0,A1
15:24:16.750000,4.891116,0,A1
15:24:17,5.079438,0,A1
15:24:17.250000,5.489707,0,A1
15:24:17.500000,5.68657,0,A1
15:24:17.750000,5.887703,0,A1
15:24:18,6.077306,0,A1
15:24:18.250000,6.479078,0,A1
15:24:18.500000,6.787245,0,A1
15:24:18.750000,7.020405,0,A1
15:24:19,7.14289,0,A1
15:24:19.250000,7.091646000000001,0,A1
15:24:19.500000,6.962255,0,A1
15:24:19.750000,6.823896,0,A1
15:24:20,6.709878,0,A1
15:24:20.250000,6.60739,0,A1
15:24:20.500000,6.572800999999999,0,A1
15:24:20.750000,6.663759,0,A1
15:24:21,6.721408,0,A1
15:24:21.250000,6.6611970000000005,0,A1
15:24:21.500000,6.580487,0,A1
15:24:21.750000,6.449815,0,A1
15:24:22,6.2922400000000005,0,A1
