EDA_Time,Measurement,TouchTag,SubjectID,,SubjectID,Average EDA,Max EDA
21:54.7,0.440645,0,B1,,,,
15:21:55,0.445769,0,B1,,,,
21:55.3,0.448331,0,B1,,,,
21:55.5,0.454736,0,B1,,,,
21:55.7,0.46114,0,B1,,,,
15:21:56,0.468826,0,B1,,,,
21:56.3,0.472669,0,B1,,,,
21:56.5,0.472669,0,B1,,,,
21:56.8,0.475231,0,B1,,,,
15:21:57,0.471388,0,B1,,,,
21:57.3,0.471388,0,B1,,,,
21:57.5,0.470107,0,B1,,,,
21:57.7,0.466264,0,B1,,,,
15:21:58,0.464983,0,B1,,,,
21:58.2,0.463702,0,B1,,,,
21:58.5,0.459859,0,B1,,,,
21:58.8,0.459859,0,B1,,,,
15:21:59,0.458578,0,B1,,,,
21:59.3,0.457297,0,B1,,,,
21:59.5,0.456017,0,B1,,,,
21:59.8,0.453455,0,B1,,,,
15:22:00,0.454736,0,B1,,,,
22:00.2,0.456017,0,B1,,,,
22:00.5,0.453455,0,B1,,,,
22:00.8,0.453455,0,B1,,,,
15:22:01,0.452174,0,B1,,,,
22:01.3,0.453455,0,B1,,,,
22:01.5,0.453455,0,B1,,,,
22:01.7,0.450893,0,B1,,,,
15:22:02,0.452174,0,B1,,,,
22:02.3,0.452174,0,B1,,,,
22:02.5,0.448331,0,B1,,,,
22:02.8,0.450893,0,B1,,,,
15:22:03,0.448331,0,B1,,,,
22:03.3,0.44705,0,B1,,,,
22:03.5,0.44705,0,B1,,,,
22:03.8,0.44705,0,B1,,,,
15:22:04,0.44705,0,B1,,,,
22:04.2,0.445769,0,B1,,,,
22:04.5,0.44705,0,B1,,,,
22:04.8,0.448331,0,B1,,,,
15:22:05,0.444488,0,B1,,,,
22:05.2,0.444488,0,B1,,,,
22:05.5,0.445769,0,B1,,,,
22:05.8,0.443207,0,B1,,,,
15:22:06,0.444488,0,B1,,,,
22:06.3,0.441926,0,B1,,,,
22:06.5,0.444488,0,B1,,,,
22:06.8,0.445769,0,B1,,,,
